"Name","Comment","DriverName","Location","PortName","Subnet","SubLocation"
"210TM9XP001","","Xerox GPD PCL6 V3.9.520.6.0","Thompson Mill Learning Lab","172.19.26.48","172.19.26.0","Braselton Modular Building"
"BCMB2-CATHDICT-A","Added by GRLEWIS _ PS","Xerox GPD PCL6 V3.9.520.6.0","","172.26.41.12","172.26.40.0","MOB - M2010"
"210TM8XP001","","Xerox GPD PCL6 V3.9.520.6.0","Thompson Mill Learning Lab","172.19.26.13","172.19.26.0","Braselton Modular Building"
"210TM7XP001","","Xerox GPD PCL6 V3.9.520.6.0","Thompson Mill Learning Lab","172.19.26.139","172.19.26.0","Braselton Modular Building"
"238NGPXR500","NGPG Chestnut Mtn
Front Desk","Xerox GPD PCL6 V3.9.520.6.0","NGPG Chestnut Mtn","172.19.19.151","172.19.19.0","ChestnutMtn-Data"
"210TM5XP001","","Xerox GPD PCL6 V3.9.520.6.0","Thompson Mill Learning Lab","172.19.26.41","172.19.26.0","Braselton Modular Building"
"NGPG-MP12-URO-Ex-H","","HP Universal Printing PCL 5","MP1 200 URO","172.19.72.147","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"210TM4XP001","","Xerox GPD PCL6 V3.9.520.6.0","Thompson Mill Learning Lab","172.19.26.138","172.19.26.0","Braselton Modular Building"
"MCNGG-IT-CMDCTR","CREATED BY BOBBY WOODY 4-3-13","HP Universal Printing PCL 5","NGG IT COMMAND CENTER","172.23.100.150","172.23.100.0","NPT-G1 Data Network"
"210TM3XP001","","Xerox GPD PCL6 V3.9.520.6.0","Thompson Mill Learning Lab","172.19.26.18","172.19.26.0","Braselton Modular Building"
"210TM2XP001","","Xerox GPD PCL6 V3.9.520.6.0","Thompson Mill Learning Lab","172.19.26.134","172.19.26.0","Braselton Modular Building"
"210TM1XP001","","Xerox GPD PCL6 V3.9.520.6.0","Thompson Mill Learning Lab","172.19.26.34","172.19.26.0","Braselton Modular Building"
"210ROMHP006","JASEWELL","HP Universal Printing PCL 5","BRASELTON REHAB","172.26.21.192","172.26.20.0","RP MOB 2nd Floor Data Range"
"210ROMHP005","JASEWELL","HP Universal Printing PCL 5","BRASELTON REHAB","172.26.21.191","172.26.20.0","RP MOB 2nd Floor Data Range"
"210ROMHP004","JASEWELL","HP Universal Printing PCL 5","REHAB BRASELTON","172.26.21.188","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-CHESTNUT-LAB","Chestnut Mountain - Created by Andy B.  7/17/2012","HP Universal Printing PCL 5","Chestnut Mountain Lab","172.19.19.166","172.19.19.0","ChestnutMtn-Data"
"MCS1E-ED-REC-P843","Xerox 4250 - Prints off during downtime. PG","Xerox GPD PCL6 V3.9.520.6.0","S1E ED Receptionist","172.25.22.159","172.25.22.0","SPT Data ED-Main-IDF"
"253RECLX500","Lexmark MS610dn   10.64.184.202","Lexmark Universal v2","Lavonia Clinic Reception","10.64.184.202","10.64.184.0","Data Vlan VID-500"
"210ROMHP003","JASEWELL","HP Universal Printing PCL 5","REHAB BRASELTON","172.26.21.187","172.26.20.0","RP MOB 2nd Floor Data Range"
"MCOP3-CARD-J","Created by Andy B.","HP Universal Printing PCL 5","OP-3 Cardiology Training Room","172.20.26.154","172.20.26.0","OPT 3rd Floor"
"210ROMHP002","JASEWELL","HP Universal Printing PCL 5","REHAB BRASELTON","172.26.21.186","172.26.20.0","RP MOB 2nd Floor Data Range"
"210PHMXR500","Added by GRLEWIS _ PS","Xerox GPD PCL6 V3.9.520.6.0","","172.26.11.89","172.26.10.0","RP MOB 1st Floor Data Range"
"236URGHP501","Created by GRLEWIS - PS","HP Universal Printing PCL 5","UC Dahlonega","172.17.10.161","172.17.10.0","NGPG-Dahlonega Urgent Care Data"
"210ONCXR500","","Xerox GPD PCL6 V3.9.520.6.0","Braselton RAD ONC","172.26.11.95","172.26.10.0","RP MOB 1st Floor Data Range"
"210ONCHP501","","HP Universal Printing PCL 5","Braselton RAD ONC","172.26.11.104","172.26.10.0","RP MOB 1st Floor Data Range"
"210ONCHP500","Added by GRLEWIS _ PS","HP Universal Printing PCL 5","","172.26.10.47","172.26.10.0","RP MOB 1st Floor Data Range"
"210nuthp402","KM- per INC0560600","HP Universal Printing PCL 5","BARIATRIC SERVICES","172.26.10.80","172.26.10.0","RP MOB 1st Floor Data Range"
"210NGPXR504","Braselton Clinic Lab -cba","Xerox GPD PCL6 V3.9.520.6.0","Braselton Clinic Lab","172.26.20.130","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPXR503","NGPG Braselton Family Medicine
Braselton Med Plaza
2nd Floor","Xerox GPD PCL6 V3.9.520.6.0","NGPG Braselton Family Medicine","172.26.21.215","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPXR501","NGPG Braselton Family Medicine","Xerox GPD PCL6 V3.9.520.6.0","NGPG Braselton Family Medicine","172.26.20.154","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPXR001","","Xerox GPD PCL6 V3.9.520.6.0","Med Plaza B Suite 200 NGPG Int Med","172.26.20.95","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP512","NGPG BRASELTON CLINIC","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.227","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP510","NGPG Braselton Clinic
Medical Plaza 2nd Floor","HP Universal Printing PCL 5","NGPG Braselton Clinic, Medical Plaza 2nd Floor","172.26.21.213","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP501","NGPG Braselton Clinic 
Medical Plaza 1
Siute 200","HP Universal Printing PCL 5","NGPG Braselton Clinic ","172.26.20.89","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP033","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.184","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-AA-RP-C","Allergy & Asthma Riverplace - NGPG  mwdetraz 9/27/2012","HP Universal Printing PCL 5","Allergy & Asthma Riverplace - NGPG","172.26.14.152","172.26.14.0","RP MOB Asthma and Allergy"
"210NGPHP032","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.183","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-AA-RP-B","Allergy & Asthma Riverplace - NGPG  mwdetraz 9/27/2012","HP Universal Printing PCL 5","Allergy & Asthma Riverplace","172.26.14.151","172.26.14.0","RP MOB Asthma and Allergy"
"210NGPHP031","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.182","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-AA-RP-A","Allergy & Asthma Riverplace - NGPG  mwdetraz 9/27/2012","HP Universal Printing PCL 5","Allergy & Asthma Riverplace - NGPG","172.26.14.150","172.26.14.0","RP MOB Asthma and Allergy"
"210NGPHP030","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.181","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP029","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.180","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-BCMB3-OB-H","Added by GRLEWIS _ PS","HP Universal Printing PCL 5","","172.26.43.216","172.26.42.0","MOB - M3010"
"210NGPHP026","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.177","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-BCMB3-OB-E","Added by GRLEWIS _ PS","HP Universal Printing PCL 5","","172.26.43.221","172.26.42.0","MOB - M3010"
"210NGPHP025","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.176","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-BCMB3-OB-D","Added by GRLEWIS _ PS","HP Universal Printing PCL 5","","172.26.43.214","172.26.42.0","MOB - M3010"
"210NGPHP024","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.175","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-BCMB3-OB-C","Added by GRLEWIS _ PS","HP Universal Printing PCL 5","","172.26.43.220","172.26.42.0","MOB - M3010"
"210NGPHP023","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.174","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-BCMB3-OB-B","Added by GRLEWIS _ PS","HP Universal Printing PCL 5","","172.26.43.218","172.26.42.0","MOB - M3010"
"210NGPHP022","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.173","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-BCMB3-OB-A","Added by GRLEWIS _ PS","HP Universal Printing PCL 5","","172.26.43.217","172.26.42.0","MOB - M3010"
"210NGPHP021","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.172","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP020","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.171","172.26.20.0","RP MOB 2nd Floor Data Range"
"MCS4E-DR-DICT","Created by Dave","HP Universal Printing PCL 5","4 East Doctor Dictation across from Nurse Station","172.25.68.151","172.25.68.0","SPT Data S4E-IDF"
"210NGPHP018","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.169","172.26.20.0","RP MOB 2nd Floor Data Range"
"247PLCHP005","Exam Room 5","HP Universal Printing PCL 5","Palliative Care Sherwood","172.25.107.50","172.25.107.0","NGPG-TRAUMA-Sherwood-Data"
"210NGPHP016","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.167","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP015","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.166","172.26.20.0","RP MOB 2nd Floor Data Range"
"402MCAXR500","XEROX ALTALINK C8055","Xerox AltaLink C8055 PCL6","465 EE BUTLER","172.19.127.152","172.19.127.0","New Managed Care Subnet"
"210NGPHP014","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.165","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP013","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.164","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP012","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.163","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP010","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.161","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP009","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.160","172.26.20.0","RP MOB 2nd Floor Data Range"
"251ADMXR500","10.71.8.231","Xerox AltaLink C8055 PCL6","Toccoa Foothills Admin","10.71.8.231","10.71.8.0","Data Vlan VID-500"
"210NGPHP008","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.159","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP007","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.158","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP005","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.156","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP004","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.155","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP003","","HP Universal Printing PCL 5","Medical Plaza 1 Suite 200","172.26.21.154","172.26.20.0","RP MOB 2nd Floor Data Range"
"210NGPHP002","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.153","172.26.20.0","RP MOB 2nd Floor Data Range"
"MCS1D-SECURITY-COLOR","","HP Universal Printing PCL 5","Security Gainesvlle location","172.25.18.98","172.25.18.0","SPT Data S1D-IDF"
"210NGPHP001","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.152","172.26.20.0","RP MOB 2nd Floor Data Range"
"BCMB1-ED-PIT","Added by GRLEWIS _ PS","Xerox GPD PCL6 V3.9.520.6.0","","172.26.191.162","172.26.190.0","Braselton Hospital - Data - IDF 1251 (VC-2)"
"210NEUXR500","","Xerox GPD PCL6 V3.9.520.6.0","Suite 340 Xerox","10.82.176.22","10.82.176.0","Data Vlan VID-500"
"210NEUHP006","","HP Universal Printing PCL 5","Suite 340 Nurse Station","10.82.176.20","10.82.176.0","Data Vlan VID-500"
"210NEUHP005","","HP Universal Printing PCL 5","","10.82.176.19","10.82.176.0","Data Vlan VID-500"
"210NEUHP004","","HP Universal Printing PCL 5","","10.82.176.18","10.82.176.0","Data Vlan VID-500"
"210IMGHP004","","HP Universal Printing PCL 5","Braselton Front Desk","172.26.11.231","172.26.10.0","RP MOB 1st Floor Data Range"
"MCOP1-SJO-A-P916","","Xerox GPD PCL6 V3.9.520.6.0","OP1","172.20.22.170","172.20.22.0","OPT 1st Floor"
"210IMGHP003","","HP Universal Printing PCL 5","Braselton Imaging Center","172.26.11.192","172.26.10.0","RP MOB 1st Floor Data Range"
"210IMGHP002","","HP Universal Printing PCL 5","","172.26.11.191","172.26.10.0","RP MOB 1st Floor Data Range"
"210IMGHP001","","HP Universal Printing PCL 5","Braselton Imaging","172.26.11.190","172.26.10.0","RP MOB 1st Floor Data Range"
"214HC1HP001","Created by GRLEWIS","HP Universal Printing PCL 5","Wisteria HC1 - Front Desk","10.92.8.107","10.92.8.0","Data Vlan VID-500 "
"210IMCHP504","Created by GRLEWIS","HP Universal Printing PCL 5","","172.26.11.243","172.26.10.0","RP MOB 1st Floor Data Range"
"WANS-MFP-A"," WANS Shop","Xerox GPD PCL6 V3.9.520.6.0","WANS Shop","172.25.4.150","172.25.4.0","SPT Data WANS-IDF"
"210IMCHP004","8/17/17 JASEWELL","HP Universal Printing PCL 5","BRASELTON IMAGING CENTER","172.26.11.148","172.26.10.0","RP MOB 1st Floor Data Range"
"LPLM1-HSP-D","Created by Andy B.  - 6/20/2012","Xerox GPD PCL6 V3.9.520.6.0","Hospice Copy Room","172.19.132.158","172.19.132.0","Hospice - Data"
"210FAMHP008","","HP Universal Printing PCL 5","","210FAMHP008","172.26.20.0","RP MOB 2nd Floor Data Range"
"253FAMHP010","","HP Universal Printing PCL 5","","10.64.184.2","10.64.184.0","Data Vlan VID-500"
"210FAMHP007","Braselton Suite 280 Exam 7","HP Universal Printing PCL 5","Braselton Suite 280 Exam 7","210FAMHP007","172.26.20.0","RP MOB 2nd Floor Data Range"
"210FAMHP006","Braselton Suite 280 Exam 6","HP Universal Printing PCL 5","Braselton Suite 280 Exam 6","210FAMHP006","172.26.20.0","RP MOB 2nd Floor Data Range"
"210FAMHP005","Braselton Suite 280 Exam 5","HP Universal Printing PCL 5","Braselton Suite 280 Exam 5","210FAMHP005","172.26.20.0","RP MOB 2nd Floor Data Range"
"210FAMHP004","","HP Universal Printing PCL 6 (v6.8.0)","","172.26.20.144","172.26.20.0","RP MOB 2nd Floor Data Range"
"RP-LAB-XEROX","Created by Andy B.  9/6/2012","Xerox GPD PCL6 V3.9.520.6.0","River Place Lab Registration","172.26.11.218","172.26.10.0","RP MOB 1st Floor Data Range"
"210FAMHP003","Braselton Suite 280 Exam 3","HP Universal Printing PCL 5","Braselton Suite 280 Exam 3","210FAMHP003","172.26.20.0","RP MOB 2nd Floor Data Range"
"210FAMHP002","Braselton Suite 280 Exam 2","HP Universal Printing PCL 5","Braselton Suite 280 Exam 2","210FAMHP002","172.26.20.0","RP MOB 2nd Floor Data Range"
"210FAMHP001","Braselton Ste 280 Exam 1","HP Universal Printing PCL 5","Braselton Ste 280 Exam 1","210FAMHP001","Unknown PortName","Unknown"
"210AABHP005","JASEWELL","HP Universal Printing PCL 5","NGPG ALLERGY ASTHMA BRASELTON","172.26.14.175","172.26.14.0","RP MOB Asthma and Allergy"
"NGPG-OAK-OCCMED-D","JASEWELL","HP Universal Printing PCL 5","NGPG OAKWOOD OCCMED","172.19.18.155","172.19.18.0","Oakwood PCN"
"210AABHP004","JASEWELL","HP Universal Printing PCL 5","NGPG ALLERGY ASTHMA BRASELTON ","172.26.14.174","172.26.14.0","RP MOB Asthma and Allergy"
"NGPG-OAK-OCCMED-C","Tomel M 2/21/17","Xerox GPD PCL6 V3.9.520.6.0","NGPG Oakwood OCC MED - Drug Screening Room","172.19.18.154","172.19.18.0","Oakwood PCN"
"210AABHP003","JASEWELL","HP Universal Printing PCL 5","NGPG ALLERGY ASTHMA BRASELTON","172.26.14.173","172.26.14.0","RP MOB Asthma and Allergy"
"NGPG-OAK-OCCMED-B","JASEWELL","HP Universal Printing PCL 5","NGPG OAKWOOD OCCMED","172.19.18.68","172.19.18.0","Oakwood PCN"
"210AABHP002","JASEWELL","HP Universal Printing PCL 5","NGPG ALLERGY ASTHMA BRASELTON","172.26.14.172","172.26.14.0","RP MOB Asthma and Allergy"
"NGPG-OAK-OCCMED-A","jasewell","Xerox GPD PCL6 V3.9.520.6.0","NGPG Oakwood OccMed","172.19.18.160","172.19.18.0","Oakwood PCN"
"210AABHP001","JASEWELL","HP Universal Printing PCL 5","NGPG ALLERGY ASTHMA BRASELTON","172.26.14.171","172.26.14.0","RP MOB Asthma and Allergy"
"209UROHP013","Created by GRLEWIS","HP Universal Printing PCL 5","Braselton Urology","172.26.43.185","172.26.42.0","MOB - M3010"
"250INTLX502","Lexmark Color C540    172.18.20.7","Lexmark Universal v2","Toccoa Int Med Yates ","172.18.20.7_1","172.18.20.0","Toccoa Clinic Data"
"209THCXR505","Added by GRLEWIS _ PS","Xerox GPD PCL6 V3.9.520.6.0","","10.82.48.92","10.82.48.0","Data Vlan VID-500"
"209THCXR503","THC Braselton 5th floor","Xerox GPD PCL6 V3.9.520.6.0","THC Braselton 5th floor","10.82.48.151","10.82.48.0","Data Vlan VID-500"
"NGPG-JJM13-NEU-A","CREATED BY BOBBY WOODY 6-26-12","Lexmark Universal v2","NGPG NEUROSURGERY MP1-3","172.19.52.156","172.19.52.0","OIC 3rd Floor Data"
"209THCXR502","THC Braselton 5th Floor","Xerox GPD PCL6 V3.9.520.6.0","THC Braselton 5th Floor","10.82.48.152","10.82.48.0","Data Vlan VID-500"
"NGPG-BRAS-MOD-E","NGPG-BRAS-MOD-D Tray 2 - Pre-Printed","Xerox GPD PCL6 V3.9.520.6.0","Braselton Modular Building","172.19.26.153","172.19.26.0","Braselton Modular Building"
"MHLWA-ADM-A-P709","CREATED BY BOBBY WOODY 4-11-12","HP Universal Printing PCL 5","LAURELWOOD ADMIN AREA","172.20.18.187","172.20.18.0","L-Wood"
"209THCXR501","Added by GRLEWIS _ PS","Xerox GPD PCL6 V3.9.520.6.0","","10.82.48.150","10.82.48.0","Data Vlan VID-500"
"NGPG-BRAS-MOD-D","NGPG-BRAS-MOD-D Tray 1 - Braselton Modular Building","Xerox GPD PCL6 V3.9.520.6.0","Braselton Modular Building","172.19.26.153","172.19.26.0","Braselton Modular Building"
"209THCXR500","Added by GRLEWIS _ PS","Xerox GPD PCL6 V3.9.520.6.0","","10.82.48.153","10.82.48.0","Data Vlan VID-500"
"209ORTHP509","Braselton NGPG Ortho","HP Universal Printing PCL 5","Braselton NGPG Ortho","172.26.45.177","172.26.44.0","MOB - M4010"
"MCN1G-REG-A-P939","bac","Xerox GPD PCL6 V3.9.520.6.0","NPT1 Registration","172.23.110.152","172.23.110.0","NPT1-1 DATA"
"209ORTHP017","","HP Universal Printing PCL 5","Exam Room Printer","172.26.44.190","172.26.44.0","MOB - M4010"
"NGPG-UC-GAIN-A","M401n in Dr. Norris' Office","HP Universal Printing PCL 5","UC GAINESVILLE","172.19.2.179","172.19.2.0","Sherwood Plaza Location - Data"
"210TM6XP001","","Xerox GPD PCL6 V3.9.520.6.0","Thompson Mill Learning Lab","172.19.26.147","172.19.26.0","Braselton Modular Building"
"209ORTHP016","","HP Universal Printing PCL 5","Exam Room Printer","172.26.44.189","172.26.44.0","MOB - M4010"
"NGPG-MP12-OB-PhoneTriage","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.19.72.181","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"MCWB3-CODER","","HP Universal Printing PCL 5","","172.30.60.153","172.30.60.0","Heart Center - Outpatient - 2nd Floor - Datat"
"209ORTHP015","","HP Universal Printing PCL 5","Exam Room Printer","172.26.44.188","172.26.44.0","MOB - M4010"
"209ORTHP014","","HP Universal Printing PCL 5","Exam Room Printer","172.26.44.187","172.26.44.0","MOB - M4010"
"209ORTHP012","","HP Universal Printing PCL 5","Exam Room Printer","172.26.44.185","172.26.44.0","MOB - M4010"
"209ORTHP009","","HP Universal Printing PCL 5","Exam Room Printer","172.26.44.182","172.26.44.0","MOB - M4010"
"209ORTHP008","JASEWELL","HP Universal Printing PCL 5","NGPG SPORTS BRASELTON","172.26.44.181","172.26.44.0","MOB - M4010"
"209ORTHP007","JASEWELL","HP Universal Printing PCL 5","NGPG SPORTS BRASELTON","172.26.44.180","172.26.44.0","MOB - M4010"
"209ORTHP006","JASEWELL","HP Universal Printing PCL 5","NGPG SPORTS BRASELTON","172.26.44.179","172.26.44.0","MOB - M4010"
"209ORTHP005","JASEWELL","HP Universal Printing PCL 5","NGPG SPORT BRASELTON","172.26.44.178","172.26.44.0","MOB - M4010"
"404500XP001","","Xerox GPD PCL6 V3.9.520.6.0","","172.24.211.219","172.24.210.0","Oakwood Admin - IDF A Data"
"209ORTHP004","JASEWELL","HP Universal Printing PCL 5","NGPG SPORTS BRASELTON","172.26.44.177","172.26.44.0","MOB - M4010"
"209ORTHP003","Created by JASEWELL, 4/7/2017 2:58:18 PM","HP Universal Printing PCL 5","NGPG SPORTS BRASELTON","172.26.44.176","172.26.44.0","MOB - M4010"
"209ORTHP002","Created by JASEWELL, 4/7/2017 2:54:16 PM","HP Universal Printing PCL 5","NGPG SPORTS BRASELTON","172.26.44.175","172.26.44.0","MOB - M4010"
"209OBGXR500","","Xerox GPD PCL6 V3.9.520.6.0","NGPG OB/GYN Front Desk","172.26.43.93","172.26.42.0","MOB - M3010"
"MCN6G-BAR-B-P97A","CREATED 2-22-12 BY BOBBY WOODY","Xerox GPD PCL6 V3.9.520.6.0","N6G ADMIN AREA","172.23.160.152","172.23.160.0","NPT6-1 DATA"
"209OBGHP021","Created by GRLEWIS - PS","HP Universal Printing PCL 5","NGPG Heritage OB Braselton","172.26.43.87","172.26.42.0","MOB - M3010"
"MCS1E-EDDRLOUN","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.25.24.159","172.25.24.0","SPT Data NPT-Bridge-IDF"
"LPLM1-HSP-J","Created by GRLEWIS - PowerShell","HP LaserJet 200 color M251 PCL 6","","172.19.132.164","172.19.132.0","Hospice - Data"
"250FAMHP317","","HP Universal Printing PCL 5","Toccoa Main","10.71.96.14","10.71.96.0","Data Vlan VID-500"
"209OBGHP020","(AKA) NGPG-BCMB3-OB-Scheduler","HP Universal Printing PCL 5","Braselton","172.26.43.90","172.26.42.0","MOB - M3010"
"MCN2G-SUR-G-P95E","bac","HP Universal Printing PCL 5","sss","172.23.124.151","172.23.124.0","NPT2-3 DATA"
"LPLM1-HSP-I","","HP Universal Printing PCL 5","LIMESTONE HOSPICE","172.19.132.156","172.19.132.0","Hospice - Data"
"209NGPXR503","Braselton 4 th Floor ","Xerox GPD PCL6 V3.9.520.6.0","Nuerology","172.26.45.1","172.26.44.0","MOB - M4010"
"250INTXR501","","Xerox GPD PCL6 V3.9.520.6.0","Int Med Nurse Station","10.71.88.101","10.71.88.0","Data Vlan VID-500"
"209NGPHP010","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 402","172.26.44.159","172.26.44.0","MOB - M4010"
"218NGPHP001","JASEWELL","HP Universal Printing PCL 5","NGPG CUMMING","172.19.24.180","172.19.24.0","Cumming/Coal MNT 172.19.24.0"
"209NGPHP009","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 402","172.26.44.158","172.26.44.0","MOB - M4010"
"NGPG-BCMB3-OB-N","","HP Universal Printing PCL 5","NGPG OBGYN","172.26.43.106","172.26.42.0","MOB - M3010"
"209NGPHP008","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 402","172.26.44.157","172.26.44.0","MOB - M4010"
"NGPG-BCMB3-OB-M","","HP Universal Printing PCL 5","NGPG OB/GYN","172.26.43.137","172.26.42.0","MOB - M3010"
"209NGPHP007","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 402","172.26.44.156","172.26.44.0","MOB - M4010"
"NGPG-BCMB3-OB-L","","HP Universal Printing PCL 5","NGPG OB/GYN","172.26.43.138","172.26.42.0","MOB - M3010"
"209NGPHP006","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 402","172.26.44.155","172.26.44.0","MOB - M4010"
"NGPG-BCMB3-OB-K","Added by GRLEWIS _ PS","HP Universal Printing PCL 5","","172.26.43.115","172.26.42.0","MOB - M3010"
"209NGPHP005","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 402","172.26.44.154","172.26.44.0","MOB - M4010"
"NGPG-BCMB3-OB-J","","Xerox GPD PCL6 V3.9.520.6.0","NGPG OB/GYN Procedure Rm","172.26.43.112","172.26.42.0","MOB - M3010"
"209NGPHP004","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 402","172.26.44.153","172.26.44.0","MOB - M4010"
"NGPG-BCMB3-OB-I","Added by GRLEWIS _ PS","HP Universal Printing PCL 5","","172.26.43.125","172.26.42.0","MOB - M3010"
"209NGPHP002","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 402","172.26.44.151","172.26.44.0","MOB - M4010"
"NGPG-BCMB3-OB-G","Added by GRLEWIS _ PS","HP Universal Printing PCL 5","","172.26.43.215","172.26.42.0","MOB - M3010"
"210NGPHP028","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.179","172.26.20.0","RP MOB 2nd Floor Data Range"
"209NGPHP001","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 402","172.26.44.150","172.26.44.0","MOB - M4010"
"NGPG-BCMB3-OB-F","Added by GRLEWIS _ PS","HP Universal Printing PCL 5","","172.26.43.219","172.26.42.0","MOB - M3010"
"210NGPHP027","JASEWELL","HP Universal Printing PCL 5","NGPG BRASELTON CLINIC","172.26.21.178","172.26.20.0","RP MOB 2nd Floor Data Range"
"209CTSHP013","","HP Universal Printing PCL 5","","172.26.41.100","172.26.40.0","MOB - M2010"
"209CTSHP012","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 201","172.26.41.161","172.26.40.0","MOB - M2010"
"209CTSHP011","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 201","172.26.41.160","172.26.40.0","MOB - M2010"
"209CTSHP010","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 201","172.26.41.159","172.26.40.0","MOB - M2010"
"BCMB1-MRI-A","Added by GRLEWIS _ PS","Xerox GPD PCL6 V3.9.520.6.0","","172.26.189.29","172.26.188.0","Braselton Hospital - Data - IDF 1251 (VC-1)"
"209CTSHP009","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 201","172.26.41.158","172.26.40.0","MOB - M2010"
"209CTSHP008","JASEWELL","HP Universal Printing PCL 5","BRASELTON MOB 201","172.26.41.157","172.26.40.0","MOB - M2010"
